subj,task,feature,match,RT_dual,RT_sing
R_3PhNSDcozSxV4x6,no_gap,conj,m,0.542,0.456
R_3PhNSDcozSxV4x6,no_gap,conj,mm,0.563,0.518
R_3PHnuh1NwQxBUke,no_gap,conj,mm,0.709,1.01
R_3PHnuh1NwQxBUke,no_gap,conj,m,0.843,1.09
R_3plRloA3DMCWRlm,no_gap,conj,m,0.669,0.717
R_3plRloA3DMCWRlm,no_gap,conj,mm,0.82,0.897
R_3PoF0xbH4zPk6H9,no_gap,conj,mm,0.756,0.784
R_3PoF0xbH4zPk6H9,no_gap,conj,m,0.924,0.961
R_3PUkBY8ioPt2QHk,no_gap,conj,mm,0.76,0.799
R_3PUkBY8ioPt2QHk,no_gap,conj,m,0.913,0.965
R_3PzqcG3ePjyMVoQ,gap,conj,m,0.976,0.67
R_3PzqcG3ePjyMVoQ,gap,conj,mm,1.263,0.791
R_3qE9UFs34ohzB4u,no_gap,conj,m,0.788,0.914
R_3qE9UFs34ohzB4u,no_gap,conj,mm,0.958,1.052
R_3qIGvV1gBPeGAF3,no_gap,conj,mm,0.663,1.061
R_3qIGvV1gBPeGAF3,no_gap,conj,m,0.737,1.072
R_3qqgOHNsjhwxEbU,no_gap,conj,m,0.817,0.95
R_3qqgOHNsjhwxEbU,no_gap,conj,mm,0.845,0.962
R_3qU5FwC4OCJ7aqk,gap,conj,mm,0.505,0.539
R_3qU5FwC4OCJ7aqk,gap,conj,m,0.568,0.648
R_3r1hJN0OmOW9eWt,no_gap,conj,mm,0.908,0.942
R_3r1hJN0OmOW9eWt,no_gap,conj,m,1.388,1.227
R_3r2uzs1xxGdN7Xt,no_gap,conj,mm,1.563,1.385
R_3r2uzs1xxGdN7Xt,no_gap,conj,m,1.652,1.84
R_3R2V7o3AKvD3riN,no_gap,conj,m,1.048,0.978
R_3R2V7o3AKvD3riN,no_gap,conj,mm,1.208,1.109
R_3Rl6FSFxxA5e8ma,gap,conj,m,1.044,0.73
R_3Rl6FSFxxA5e8ma,gap,conj,mm,1.323,1.026
R_3Rl6VEWOBQmKqU6,gap,conj,m,0.601,0.728
R_3Rl6VEWOBQmKqU6,gap,conj,mm,0.636,0.829
R_3RmwoIz93sstbuX,gap,conj,mm,0.619,0.85
R_3RmwoIz93sstbuX,gap,conj,m,0.794,1.073
R_3sgjFLFAcfatVu1,no_gap,conj,m,0.769,0.864
R_3sgjFLFAcfatVu1,no_gap,conj,mm,0.994,0.906
R_3snnTFxEmMWchE3,no_gap,conj,m,0.949,1.365
R_3snnTFxEmMWchE3,no_gap,conj,mm,1.485,1.367
R_3svpurCda9KfwHp,gap,conj,m,0.843,0.589
R_3svpurCda9KfwHp,gap,conj,mm,0.913,0.958
R_3Vm6NBKASkpNULn,gap,conj,m,1.506,1.139
R_3Vm6NBKASkpNULn,gap,conj,mm,2.194,1.321
R_4HGqzV1TmoKnmRb,no_gap,conj,m,0.799,1.205
R_4HGqzV1TmoKnmRb,no_gap,conj,mm,1.072,1.887
R_4MlrIKWtWMynXgJ,gap,conj,mm,0.8,0.638
R_4MlrIKWtWMynXgJ,gap,conj,m,0.812,0.805
R_4UcujUnUkeMAjcd,no_gap,conj,mm,1.092,1.056
R_4UcujUnUkeMAjcd,no_gap,conj,m,1.474,1.289
R_4V0pQt6VgkQw0lb,gap,conj,m,0.925,0.887
R_4V0pQt6VgkQw0lb,gap,conj,mm,1.199,1.097
R_5AccJZEMv9dA7ZL,no_gap,conj,mm,1.315,1.536
R_5AccJZEMv9dA7ZL,no_gap,conj,m,1.703,2.09
R_5Bl0sD2ma6kOenD,no_gap,conj,mm,1.785,1.707
R_5Bl0sD2ma6kOenD,no_gap,conj,m,2.263,2.116
R_5zD75iREBKTihMt,gap,conj,mm,0.671,0.775
R_5zD75iREBKTihMt,gap,conj,m,0.68,0.905
R_6AkMGcTw5XpOoSd,gap,conj,m,1.164,1.127
R_6AkMGcTw5XpOoSd,gap,conj,mm,1.568,1.495
R_6QoG7SGfNSA5MY1,no_gap,conj,mm,1.252,1.248
R_6QoG7SGfNSA5MY1,no_gap,conj,m,1.78,1.302
R_78aLaJZ9ov7E4z7,no_gap,conj,m,1.067,1.109
R_78aLaJZ9ov7E4z7,no_gap,conj,mm,1.444,1.255
R_7QYLh7Cv4ho9ne9,no_gap,conj,mm,0.844,0.841
R_7QYLh7Cv4ho9ne9,no_gap,conj,m,0.9,1.012
R_8039DfpRFz4mdlD,no_gap,conj,m,0.685,1.116
R_8039DfpRFz4mdlD,no_gap,conj,mm,1.075,1.18
R_81zsKze4hKiO3Ch,no_gap,conj,mm,0.633,0.63
R_81zsKze4hKiO3Ch,no_gap,conj,m,0.692,0.818
R_821ywZ3Ur7opgmR,no_gap,conj,m,1.369,1.492
R_821ywZ3Ur7opgmR,no_gap,conj,mm,1.392,1.882
R_87dG0u6RSBe8bpD,gap,conj,m,0.489,0.463
R_87dG0u6RSBe8bpD,gap,conj,mm,0.634,0.538
R_88lRNtWC8jzcvPr,gap,conj,m,0.589,0.721
R_88lRNtWC8jzcvPr,gap,conj,mm,0.656,1.054
R_8qYu2CCKRBiPBjb,no_gap,conj,m,0.926,0.876
R_8qYu2CCKRBiPBjb,no_gap,conj,mm,1.096,0.928
R_9SIq53ZIw0UeCMp,gap,conj,mm,0.692,0.73
R_9SIq53ZIw0UeCMp,gap,conj,m,0.713,1.058
R_9ZV7VYa4WgGSoPT,gap,conj,m,0.414,0.458
R_9ZV7VYa4WgGSoPT,gap,conj,mm,0.473,0.464
R_a8Keqoc6RqZXPj3,gap,conj,mm,1.407,0.32
R_AFYcy8WqCbGhYSB,gap,conj,m,0.675,1.371
R_AFYcy8WqCbGhYSB,gap,conj,mm,0.695,0.851
R_AhqftoXBoaz9xId,no_gap,conj,mm,0.858,0.982
R_AhqftoXBoaz9xId,no_gap,conj,m,1.116,1.218
R_aXyHoAyLu9CDc4N,no_gap,conj,mm,0.835,1.415
R_aXyHoAyLu9CDc4N,no_gap,conj,m,0.844,0.9
R_b1xBevGuDlgE5mp,gap,conj,m,0.593,1.309
R_b1xBevGuDlgE5mp,gap,conj,mm,0.662,0.673
R_BEpHnJisiwxS1z3,no_gap,conj,m,1.611,0.757
R_BEpHnJisiwxS1z3,no_gap,conj,mm,1.784,1.555
R_bj5pW4Iu3tLbUnT,no_gap,conj,m,2.225,1.599
R_bj5pW4Iu3tLbUnT,no_gap,conj,mm,2.564,2.104
R_bJ8LN8hW9Wr5SFj,no_gap,conj,m,0.546,2.186
R_bJ8LN8hW9Wr5SFj,no_gap,conj,mm,0.601,0.594
R_BV2jiQRnLfyGBYl,no_gap,conj,m,0.703,0.597
R_BV2jiQRnLfyGBYl,no_gap,conj,mm,0.837,0.841
R_bxcuLDEvGbOnKHT,gap,conj,m,1.453,0.974
R_bxcuLDEvGbOnKHT,gap,conj,mm,1.886,0.971
R_Cjijzqk1J6xkLdf,no_gap,conj,mm,0.683,1.793
R_Cjijzqk1J6xkLdf,no_gap,conj,m,0.884,0.573
R_ClZZ8iH4ih5ZuSd,gap,conj,mm,1.661,0.919
R_ClZZ8iH4ih5ZuSd,gap,conj,m,1.733,1.582
R_d6C5372Rri91D57,no_gap,conj,m,1.073,1.854
R_d6C5372Rri91D57,no_gap,conj,mm,1.271,1.327
R_DcbIYJJOl9NfnSV,no_gap,conj,mm,0.418,1.587
R_DcbIYJJOl9NfnSV,no_gap,conj,m,0.491,0.808
R_dfYxqvX4G98rUXL,gap,conj,mm,0.895,0.889
R_dfYxqvX4G98rUXL,gap,conj,m,0.907,0.555
R_dh9Z16ZeR9OmSJj,no_gap,conj,m,0.539,0.572
R_dh9Z16ZeR9OmSJj,no_gap,conj,mm,0.712,0.661
R_dm7E2sdo1YUjT3z,no_gap,conj,m,0.416,0.813
R_dm7E2sdo1YUjT3z,no_gap,conj,mm,0.518,0.363
R_dmY5Tc0WANqnPs5,no_gap,conj,mm,1.001,0.502
R_dmY5Tc0WANqnPs5,no_gap,conj,m,1.393,1.476
R_eai96tm4PUo2JmF,no_gap,conj,mm,0.836,1.482
R_eai96tm4PUo2JmF,no_gap,conj,m,0.85,0.754
R_eJrfTYcTp9qL7ix,no_gap,conj,m,0.706,0.851
R_eJrfTYcTp9qL7ix,no_gap,conj,mm,0.733,0.852
R_eKdyzfVrqfswb1n,gap,conj,mm,1.444,1.116
R_eKdyzfVrqfswb1n,gap,conj,m,1.589,1.308
R_esMmOCJbTcEsIq5,gap,conj,m,0.801,1.886
R_esMmOCJbTcEsIq5,gap,conj,mm,1.26,0.705
R_eyNfgTiSRXT8Xi9,no_gap,conj,mm,1.161,0.858
R_eyNfgTiSRXT8Xi9,no_gap,conj,m,1.294,0.885
R_O0SCTkaxAB7vjA5,gap,conj,mm,0.861,1.232
R_O0SCTkaxAB7vjA5,gap,conj,m,0.956,0.916
R_O0WT1fmWD73IgCZ,no_gap,conj,mm,0.869,1.061
R_O0WT1fmWD73IgCZ,no_gap,conj,m,1.016,1.026
R_OBikbvVJp5ZcCOt,gap,conj,m,0.632,1.408
R_OBikbvVJp5ZcCOt,gap,conj,mm,0.918,0.906
R_OjUO1JZhl881Wdr,gap,conj,mm,0.624,0.992
R_OjUO1JZhl881Wdr,gap,conj,m,0.651,0.471
R_OkxFT8Yi5pR6dsB,gap,conj,m,1.013,0.717
R_OkxFT8Yi5pR6dsB,gap,conj,mm,1.111,0.722
R_OPCfSDjGV5SHORr,gap,conj,mm,0.61,1.192
R_OPCfSDjGV5SHORr,gap,conj,m,0.914,0.511
R_Ope2sXA3sL6z35T,no_gap,conj,mm,0.752,0.73
R_Ope2sXA3sL6z35T,no_gap,conj,m,0.858,0.603
R_PA36VyjszG9W9gt,no_gap,conj,m,1.154,0.856
R_PA36VyjszG9W9gt,no_gap,conj,mm,1.546,0.982
R_pEoe2uY6YbOw3aF,gap,conj,mm,0.475,1.027
R_pEoe2uY6YbOw3aF,gap,conj,m,0.513,0.415
R_PIpINaW6xp0qDD3,gap,conj,mm,0.631,0.463
R_PIpINaW6xp0qDD3,gap,conj,m,0.694,0.568
R_pK7U209871YpYIN,gap,conj,mm,1.486,0.601
R_pK7U209871YpYIN,gap,conj,m,1.499,1.43
R_pngU1YVfrXpM6m5,gap,conj,m,0.437,1.837
R_pngU1YVfrXpM6m5,gap,conj,mm,0.526,0.596
R_PSSk558zgwsdfq1,gap,conj,mm,1.176,0.613
R_PSSk558zgwsdfq1,gap,conj,m,1.355,0.874
R_pT8XhCOwudJrdq9,gap,conj,m,0.742,1.035
R_pT8XhCOwudJrdq9,gap,conj,mm,0.844,0.596
R_pufazghR2YH4Vqx,no_gap,conj,m,1.108,0.952
R_pufazghR2YH4Vqx,no_gap,conj,mm,1.109,1.003
R_Pwhzf2X9FTJWwcp,gap,conj,m,0.461,1.295
R_Pwhzf2X9FTJWwcp,gap,conj,mm,0.596,0.623
R_PYUFtJ6v69P19WF,no_gap,conj,m,0.76,0.677
R_PYUFtJ6v69P19WF,no_gap,conj,mm,0.829,0.739
R_Q3QAyLhzVGkm1hL,no_gap,conj,mm,0.905,0.852
R_Q3QAyLhzVGkm1hL,no_gap,conj,m,1.269,0.983
R_qL4FaXWkk1AqEmt,gap,conj,mm,2.156,1.012
R_qL4FaXWkk1AqEmt,gap,conj,m,2.425,1.361
R_QoG98GIXlyTTQCB,gap,conj,mm,0.766,0.635
R_QoG98GIXlyTTQCB,gap,conj,m,0.803,0.766
R_r25ZrJt80L0xZ5v,no_gap,conj,mm,0.968,0.884
R_r25ZrJt80L0xZ5v,no_gap,conj,m,0.975,1.18
R_R838SwdXuvvg13j,gap,conj,m,0.724,0.642
R_R838SwdXuvvg13j,gap,conj,mm,1.105,1.029
R_rcHQpWAv7AbsluV,gap,conj,m,0.62,0.769
R_rcHQpWAv7AbsluV,gap,conj,mm,0.881,0.833
R_rkiqrtdH01X2Uz7,gap,conj,m,0.832,0.823
R_rkiqrtdH01X2Uz7,gap,conj,mm,1.243,0.862
R_rpa23bPTMqxRuy5,gap,conj,mm,0.878,1.283
R_rpa23bPTMqxRuy5,gap,conj,m,1.403,1.331
R_RPRRh5b9RJjsLWF,gap,conj,m,2.211,2.369
R_RPRRh5b9RJjsLWF,gap,conj,mm,2.342,2.467
R_RxCmnVP4h0M2Iet,gap,conj,mm,0.964,0.942
R_RxCmnVP4h0M2Iet,gap,conj,m,0.966,1.049
R_SUAv0Djpf96vXsB,gap,conj,mm,0.834,0.991
R_SUAv0Djpf96vXsB,gap,conj,m,1.062,1.161
R_szedVFAI7mc8uqt,gap,conj,mm,0.512,0.58
R_szedVFAI7mc8uqt,gap,conj,m,0.645,0.612
R_sZRf0Q5e9LGW9gJ,no_gap,conj,m,2.227,2.286
R_sZRf0Q5e9LGW9gJ,no_gap,conj,mm,2.35,2.378
R_TjDuFk15r39Xrqh,gap,conj,m,0.617,0.555
R_TjDuFk15r39Xrqh,gap,conj,mm,0.791,0.747
R_tLqTSkDsUZvWP4t,no_gap,conj,m,0.694,0.693
R_tLqTSkDsUZvWP4t,no_gap,conj,mm,0.829,0.904
R_tQjTkAdN6h1rHHP,no_gap,conj,m,0.75,0.783
R_tQjTkAdN6h1rHHP,no_gap,conj,mm,0.754,0.952
R_u220n4MBxTrGIqB,gap,conj,m,0.964,0.772
R_u220n4MBxTrGIqB,gap,conj,mm,1.177,0.799
R_UA47gf9TzaRpJ0B,no_gap,conj,m,1.207,1.359
R_UA47gf9TzaRpJ0B,no_gap,conj,mm,1.362,1.434
R_uk7jLfoyyvrie5P,gap,conj,mm,0.662,0.705
R_uk7jLfoyyvrie5P,gap,conj,m,0.704,0.764
