subj,task,feature,match,accuracy,RT
383,no_gap,sing,m,1,0.972
383,no_gap,sing,mm,1,1.016
384,no_gap,conj,m,0.875,1.513
384,no_gap,conj,mm,1,1.44
384,no_gap,sing,m,0.875,1.378
384,no_gap,sing,mm,1,1.248
385,gap,conj,m,0.625,0.539
385,gap,conj,mm,1,0.645
385,gap,sing,m,0.75,0.578
385,gap,sing,mm,1,0.711
386,no_gap,conj,m,1,0.803
386,no_gap,conj,mm,1,0.821
386,no_gap,sing,m,1,0.684
386,no_gap,sing,mm,1,0.727
387,no_gap,conj,m,1,0.678
387,no_gap,conj,mm,1,0.741
387,no_gap,sing,m,1,1.098
387,no_gap,sing,mm,1,1.033
388,no_gap,conj,m,1,0.832
388,no_gap,conj,mm,1,0.788
388,no_gap,sing,m,0.875,0.922
388,no_gap,sing,mm,1,1.045
389,gap,conj,m,1,0.667
389,gap,conj,mm,0.75,0.874
389,gap,sing,m,0.875,0.639
389,gap,sing,mm,0.875,1.296
390,gap,conj,m,1,0.977
390,gap,conj,mm,0.875,0.908
390,gap,sing,m,0.375,1.169
390,gap,sing,mm,1,1.252
391,no_gap,conj,m,1,1.065
391,no_gap,conj,mm,1,1.146
391,no_gap,sing,m,1,1.021
391,no_gap,sing,mm,1,1.333
392,gap,conj,m,0.75,0.93
392,gap,conj,mm,1,1.163
392,gap,sing,m,1,1.193
392,gap,sing,mm,1,1.252
393,no_gap,conj,m,0.875,0.988
393,no_gap,conj,mm,0.875,0.788
393,no_gap,sing,m,0.875,0.796
393,no_gap,sing,mm,1,1.094
394,no_gap,conj,m,1,0.585
394,no_gap,conj,mm,1,0.771
394,no_gap,sing,m,0.875,0.728
394,no_gap,sing,mm,1,0.73
395,no_gap,conj,m,1,1.522
395,no_gap,conj,mm,1,1.269
395,no_gap,sing,m,0.375,1.171
395,no_gap,sing,mm,0.875,1.234
396,gap,conj,m,0.875,0.522
396,gap,conj,mm,1,0.644
396,gap,sing,m,1,0.714
396,gap,sing,mm,1,0.842
397,no_gap,conj,m,1,0.421
397,no_gap,conj,mm,1,0.691
397,no_gap,sing,m,1,0.658
397,no_gap,sing,mm,1,0.652
398,no_gap,conj,m,1,0.767
398,no_gap,conj,mm,1,0.584
398,no_gap,sing,m,1,0.686
398,no_gap,sing,mm,1,0.775
399,no_gap,conj,m,1,0.807
399,no_gap,conj,mm,1,0.6
399,no_gap,sing,m,1,0.573
399,no_gap,sing,mm,1,0.581
400,gap,conj,m,0.75,0.659
400,gap,conj,mm,1,0.72
400,gap,sing,m,1,0.855
400,gap,sing,mm,1,0.971
401,no_gap,conj,m,0.875,0.444
401,no_gap,conj,mm,0.75,0.509
401,no_gap,sing,m,1,0.501
401,no_gap,sing,mm,1,0.495
402,no_gap,conj,m,1,1.15
402,no_gap,conj,mm,1,1.069
402,no_gap,sing,m,1,1.304
402,no_gap,sing,mm,1,1.107
403,no_gap,conj,m,1,1.245
403,no_gap,conj,mm,0.875,1.737
403,no_gap,sing,m,1,1.948
403,no_gap,sing,mm,1,1.584
404,no_gap,conj,m,0.875,1.184
404,no_gap,conj,mm,1,1.193
404,no_gap,sing,m,1,0.813
404,no_gap,sing,mm,1,0.807
405,gap,conj,m,0.75,0.973
405,gap,conj,mm,1,0.86
405,gap,sing,m,0.571,1.505
405,gap,sing,mm,0.6,1.318
406,gap,conj,m,1,0.458
406,gap,conj,mm,1,0.782
406,gap,sing,m,1,0.488
406,gap,sing,mm,1,0.795
407,gap,conj,m,0.875,1.275
407,gap,conj,mm,1,1.604
407,gap,sing,m,0.875,1.685
407,gap,sing,mm,0.875,1.735
408,no_gap,conj,m,1,1.536
408,no_gap,conj,mm,0.875,1.276
408,no_gap,sing,m,1,1.673
408,no_gap,sing,mm,1,1.443
409,gap,conj,m,1,0.457
409,gap,conj,mm,1,0.516
409,gap,sing,m,0.875,0.545
409,gap,sing,mm,0.875,0.586
410,no_gap,conj,m,1,
410,no_gap,conj,mm,1,
410,no_gap,sing,m,1,
410,no_gap,sing,mm,1,
