subj,task,feature,match,accuracy,RT
74,no_gap,sing,mm,1,0.924
75,no_gap,conj,m,0.875,0.665
75,no_gap,conj,mm,1,0.882
75,no_gap,sing,m,1,1.204
75,no_gap,sing,mm,0.75,1.364
76,gap,conj,m,0.875,0.92
76,gap,conj,mm,1,1.078
76,gap,sing,m,1,1.5
76,gap,sing,mm,1,1.141
77,no_gap,conj,m,1,1.251
77,no_gap,conj,mm,1,1.373
77,no_gap,sing,m,0.875,0.659
77,no_gap,sing,mm,1,0.712
78,no_gap,conj,m,1,0.797
78,no_gap,conj,mm,1,0.804
78,no_gap,sing,m,1,0.423
78,no_gap,sing,mm,1,0.464
79,no_gap,conj,m,1,0.455
79,no_gap,conj,mm,1,0.472
79,no_gap,sing,m,1,1.468
79,no_gap,sing,mm,1,1.687
80,no_gap,conj,m,1,1.584
80,no_gap,conj,mm,1,1.686
80,no_gap,sing,m,0.875,1.57
80,no_gap,sing,mm,0.875,1.272
81,gap,conj,m,1,1.223
81,gap,conj,mm,1,1.268
81,gap,sing,m,0.875,0.682
81,gap,sing,mm,0.625,0.623
82,gap,conj,m,1,0.918
82,gap,conj,mm,1,0.974
82,gap,sing,m,0.875,1.849
82,gap,sing,mm,0.875,2.195
83,gap,conj,m,0.625,1.661
83,gap,conj,mm,0.875,1.768
83,gap,sing,m,0.75,1.219
83,gap,sing,mm,0.875,1.067
84,no_gap,conj,m,1,1.154
84,no_gap,conj,mm,0.875,1.113
84,no_gap,sing,m,1,0.538
84,no_gap,sing,mm,1,0.657
85,gap,conj,m,1,0.632
85,gap,conj,mm,1,0.909
85,gap,sing,m,1,1.357
85,gap,sing,mm,1,1.578
86,no_gap,conj,m,0.875,1.473
86,no_gap,conj,mm,1,2.018
86,no_gap,sing,m,1,0.609
86,no_gap,sing,mm,1,0.689
87,gap,conj,m,1,0.57
87,gap,conj,mm,1,0.607
87,gap,sing,m,1,1.357
87,gap,sing,mm,1,1.271
88,no_gap,conj,m,0.875,1.747
88,no_gap,conj,mm,0.625,1.099
88,no_gap,sing,m,1,0.85
88,no_gap,sing,mm,0.5,1.068
89,no_gap,conj,m,0.75,1.357
89,no_gap,conj,mm,1,1.519
89,no_gap,sing,m,1,0.725
89,no_gap,sing,mm,0.875,0.684
90,gap,conj,m,1,0.766
90,gap,conj,mm,1,1.052
90,gap,sing,m,1,0.613
90,gap,sing,mm,0.875,0.859
91,gap,conj,m,1,0.564
91,gap,conj,mm,0.875,0.655
91,gap,sing,m,1,0.467
91,gap,sing,mm,1,0.917
92,gap,conj,m,0.875,0.585
92,gap,conj,mm,0.75,0.607
92,gap,sing,m,1,0.688
92,gap,sing,mm,0.75,0.771
93,no_gap,conj,m,1,0.728
93,no_gap,conj,mm,1,1.061
93,no_gap,sing,m,0.875,0.828
93,no_gap,sing,mm,0.875,1.058
94,gap,conj,m,1,0.965
94,gap,conj,mm,1,1.282
94,gap,sing,m,1,0.906
94,gap,sing,mm,0.875,0.766
95,no_gap,conj,m,1,0.952
95,no_gap,conj,mm,1,0.884
95,no_gap,sing,m,0.875,0.523
95,no_gap,sing,mm,0.75,0.49
96,gap,conj,m,1,0.586
96,gap,conj,mm,1,0.805
96,gap,sing,m,0.875,0.558
96,gap,sing,mm,1,0.61
97,gap,conj,m,1,0.649
97,gap,conj,mm,0.875,0.699
97,gap,sing,m,1,0.595
97,gap,sing,mm,0.875,0.6
98,gap,conj,m,1,0.772
98,gap,conj,mm,1,1.014
98,gap,sing,m,0.75,1.046
98,gap,sing,mm,1,0.985
99,no_gap,conj,m,1,1.161
99,no_gap,conj,mm,1,1.725
99,no_gap,sing,m,1,1.342
99,no_gap,sing,mm,0.75,1.392
100,no_gap,conj,m,1,1.146
100,no_gap,conj,mm,1,1.313
100,no_gap,sing,m,0.75,1.873
100,no_gap,sing,mm,0.875,1.873
101,no_gap,conj,m,1,1.801
101,no_gap,conj,mm,0.875,1.974
101,no_gap,sing,m,1,0.727
101,no_gap,sing,mm,1,0.737
102,no_gap,conj,m,1,1.036
102,no_gap,conj,mm,0.875,1.298
102,no_gap,sing,m,1,0.681
102,no_gap,sing,mm,1,1.274
103,gap,conj,m,0.75,0.613
103,gap,conj,mm,0.75,0.88
103,gap,sing,m,1,0.97
103,gap,sing,mm,1,0.898
104,gap,conj,m,0.875,0.768
104,gap,conj,mm,0.625,0.808
104,gap,sing,m,1,0.442
104,gap,sing,mm,1,0.524
105,no_gap,conj,m,1,0.551
105,no_gap,conj,mm,1,0.526
105,no_gap,sing,m,1,0.764
105,no_gap,sing,mm,0.875,0.965
106,gap,conj,m,0.875,0.995
106,gap,conj,mm,1,0.862
106,gap,sing,m,1,0.965
106,gap,sing,mm,0.875,0.904
107,gap,conj,m,0.75,0.794
107,gap,conj,mm,0.875,1.056
107,gap,sing,m,1,0.716
107,gap,sing,mm,0.625,0.968
108,no_gap,conj,m,0.875,1.068
108,no_gap,conj,mm,1,0.894
108,no_gap,sing,m,1,0.661
108,no_gap,sing,mm,1,0.767
109,no_gap,conj,m,1,1.107
109,no_gap,conj,mm,1,0.801
109,no_gap,sing,m,0.875,1.199
109,no_gap,sing,mm,0.875,1.237
110,gap,conj,m,0.875,0.893
110,gap,conj,mm,0.75,1.169
110,gap,sing,m,0.875,1.297
110,gap,sing,mm,0.875,1.092
111,gap,conj,m,1,0.986
111,gap,conj,mm,0.875,1.661
111,gap,sing,m,1,0.852
111,gap,sing,mm,0.625,0.743
112,gap,conj,m,1,0.891
112,gap,conj,mm,1,1.33
112,gap,sing,m,1,1.626
112,gap,sing,mm,0.875,1.567
113,no_gap,conj,m,1,1.542
113,no_gap,conj,mm,1,1.423
113,no_gap,sing,m,0.875,1.438
113,no_gap,sing,mm,1,1.924
114,no_gap,conj,m,1,1.526
114,no_gap,conj,mm,1,1.564
114,no_gap,sing,m,1,0.732
114,no_gap,sing,mm,1,0.58
115,gap,conj,m,0.875,0.84
115,gap,conj,mm,0.875,0.821
115,gap,sing,m,1,0.563
115,gap,sing,mm,0.875,0.664
116,no_gap,conj,m,1,0.768
116,no_gap,conj,mm,1,0.775
116,no_gap,sing,m,1,0.998
116,no_gap,sing,mm,0.875,1.086
117,gap,conj,m,1,1.288
117,gap,conj,mm,0.5,1.19
117,gap,sing,m,1,0.597
117,gap,sing,mm,0.75,0.498
118,gap,conj,m,1,0.448
118,gap,conj,mm,1,0.528
118,gap,sing,m,1,1.216
118,gap,sing,mm,1,1.012
119,no_gap,conj,m,1,1.524
119,no_gap,conj,mm,0.75,1.834
119,no_gap,sing,m,0.75,1.165
119,no_gap,sing,mm,0.875,1.409
120,no_gap,conj,m,0.75,1.262
120,no_gap,conj,mm,1,1.165
120,no_gap,sing,m,0.875,0.577
120,no_gap,sing,mm,1,0.607
121,gap,conj,m,0.875,0.564
121,gap,conj,mm,1,0.631
121,gap,sing,m,0.875,0.556
121,gap,sing,mm,1,0.555
122,gap,conj,m,0.875,0.499
122,gap,conj,mm,0.875,0.539
122,gap,sing,m,1,0.786
122,gap,sing,mm,1,0.898
123,gap,conj,m,1,0.922
123,gap,conj,mm,1,0.948
123,gap,sing,m,0.875,0.973
123,gap,sing,mm,1,0.902
124,gap,conj,m,1,0.746
124,gap,conj,mm,0.875,0.872
124,gap,sing,m,0.75,0.78
124,gap,sing,mm,0.75,1.364
125,gap,conj,m,0.875,0.778
125,gap,conj,mm,1,0.947
125,gap,sing,m,1,1.353
125,gap,sing,mm,1,1.423
126,gap,conj,m,0.875,0.896
126,gap,conj,mm,1,1.285
126,gap,sing,m,0.625,0.619
126,gap,sing,mm,0.75,0.652
127,gap,conj,m,0.75,0.683
127,gap,conj,mm,1,0.962
127,gap,sing,m,0.75,1.361
127,gap,sing,mm,0.625,0.931
128,gap,conj,m,1,0.962
128,gap,conj,mm,0.875,0.865
128,gap,sing,m,1,1.377
128,gap,sing,mm,1,1.511
129,no_gap,conj,m,1,1.71
129,no_gap,conj,mm,1,1.574
129,no_gap,sing,m,1,0.632
129,no_gap,sing,mm,0.75,0.759
130,no_gap,conj,m,1,0.871
130,no_gap,conj,mm,1,0.929
130,no_gap,sing,m,1,1.755
130,no_gap,sing,mm,1,2.167
131,no_gap,conj,m,1,1.497
131,no_gap,conj,mm,0.5,0.982
131,no_gap,sing,m,0.75,0.518
131,no_gap,sing,mm,0.875,0.728
132,gap,conj,m,0.875,0.571
132,gap,conj,mm,1,0.665
132,gap,sing,m,0.875,1.095
132,gap,sing,mm,0.75,1.046
133,no_gap,conj,m,1,0.814
133,no_gap,conj,mm,0.875,1.865
133,no_gap,sing,m,0.625,0.851
133,no_gap,sing,mm,0.625,0.817
134,no_gap,conj,m,1,0.856
134,no_gap,conj,mm,1,0.95
134,no_gap,sing,m,0.875,0.766
134,no_gap,sing,mm,1,0.698
135,no_gap,conj,m,1,0.915
135,no_gap,conj,mm,1,1.031
135,no_gap,sing,m,1,0.467
135,no_gap,sing,mm,1,0.647
136,gap,conj,m,1,0.611
136,gap,conj,mm,1,0.58
136,gap,sing,m,0.875,0.854
136,gap,sing,mm,0.875,1.444
137,gap,conj,m,0.875,1.504
137,gap,conj,mm,1,1.519
137,gap,sing,m,1,1.139
137,gap,sing,mm,0.875,0.896
138,no_gap,conj,m,0.875,0.946
138,no_gap,conj,mm,0.875,1.266
138,no_gap,sing,m,1,1.046
138,no_gap,sing,mm,1,1.313
139,no_gap,conj,m,0.875,1.876
139,no_gap,conj,mm,0.875,1.362
139,no_gap,sing,m,0.875,0.579
139,no_gap,sing,mm,1,0.703
140,gap,conj,m,1,0.878
140,gap,conj,mm,1,0.688
140,gap,sing,m,0.875,0.626
140,gap,sing,mm,0.875,0.663
