task,PPnr,conjunction_single,match_mismatch,trial,acc_conj,RT_conj,acc_sing,RT_sing
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_gd_m_2,1,0.947,1,1.326
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_gs_m_1,1,0.988,1,0.971
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_gs_m_2,1,1.242,1,1.527
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_rd_m_1,1,1.214,1,1.046
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_rd_m_2,1,1.237,1,1.631
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_rs_m_1,1,1.332,1,1.181
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_rs_m_2,1,1.123,1,1.064
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_gd_mm_1,1,0.987,1,0.648
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_gd_mm_2,1,0.825,1,0.732
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_gs_mm_1,1,0.832,1,0.744
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_gs_mm_2,1,0.714,1,0.635
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_rd_mm_1,1,0.925,1,0.93
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_rd_mm_2,1,0.71,1,0.883
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_rs_mm_1,1,0.75,1,0.583
no_gap,R_10ZPMCCzcV8FG6A,conj,mm,sim_conj_rs_mm_2,1,0.602,1,0.77
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_gd_m_1,1,1.174,1,0.357
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_gd_m_2,1,0.365,1,0.365
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_gs_m_1,1,0.352,1,0.781
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_gs_m_2,1,0.38,1,0.351
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_rd_m_1,1,0.47,1,0.939
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_rd_m_2,1,0.476,1,0.409
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_rs_m_1,1,0.4,1,0.587
gap,R_1240oKwSUYFSJUY,conj,m,sim_conj_rs_m_2,1,0.409,1,0.398
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_gd_mm_1,1,0.621,1,0.732
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_gd_mm_2,1,1.078,1,0.524
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_gs_mm_1,1,0.517,1,1.196
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_gs_mm_2,1,0.769,1,1.414
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_rd_mm_1,1,0.669,1,0.833
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_rd_mm_2,1,0.419,1,0.48
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_rs_mm_1,1,0.455,1,0.689
gap,R_1240oKwSUYFSJUY,conj,mm,sim_conj_rs_mm_2,1,0.463,1,0.751
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_gd_m_1,1,0.817,1,0.637
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_gd_m_2,1,0.812,1,0.615
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_gs_m_1,1,0.924,1,0.568
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_gs_m_2,1,0.662,1,1.134
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_rd_m_1,1,1.367,1,1.659
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_rd_m_2,0,0.845,1,1.009
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_rs_m_1,1,0.779,1,0.726
gap,R_125qGAPsEKNgCik,conj,m,sim_conj_rs_m_2,1,0.488,1,0.934
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_gd_mm_1,1,0.426,1,1.138
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_gd_mm_2,1,1.357,1,1.293
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_gs_mm_1,1,0.619,0,1.719
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_gs_mm_2,0,1.203,1,1.291
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_rd_mm_1,1,0.674,1,2.962
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_rd_mm_2,1,0.745,1,4.282
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_rs_mm_1,1,3.639,1,1.113
gap,R_125qGAPsEKNgCik,conj,mm,sim_conj_rs_mm_2,1,1.191,0,1.769
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_gd_m_1,1,0.548,1,0.459
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_gd_m_2,0,0.798,1,1.04
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_gs_m_1,1,0.502,1,0.43
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_gs_m_2,1,0.553,1,0.701
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_rd_m_1,1,0.528,1,0.565
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_rd_m_2,1,0.57,1,0.86
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_rs_m_1,1,0.442,1,0.521
no_gap,R_12s68Ligswec1t3,conj,m,sim_conj_rs_m_2,1,0.503,1,0.44
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_gd_mm_1,1,0.499,1,0.481
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_gd_mm_2,1,0.534,1,0.618
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_gs_mm_1,1,0.548,1,0.436
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_gs_mm_2,1,0.502,1,0.58
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_rd_mm_1,1,0.643,1,0.54
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_rd_mm_2,1,0.515,1,0.585
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_rs_mm_1,1,0.463,1,0.427
no_gap,R_12s68Ligswec1t3,conj,mm,sim_conj_rs_mm_2,1,0.633,1,0.74
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_gd_m_1,1,0.778,1,1.067
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_gd_m_2,1,1.143,1,1.515
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_gs_m_1,1,0.648,1,1.106
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_gs_m_2,1,0.822,1,0.704
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_rd_m_1,1,0.799,1,0.647
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_rd_m_2,1,0.809,1,0.904
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_rs_m_1,1,1.178,1,1.072
no_gap,R_1BPAkPhD282eIwa,conj,m,sim_conj_rs_m_2,1,0.635,1,0.602
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_gd_mm_1,1,0.683,1,1.031
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_gd_mm_2,1,1.137,1,0.838
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_gs_mm_1,1,0.584,1,1.942
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_gs_mm_2,1,0.871,1,0.563
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_rd_mm_1,1,0.714,1,0.786
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_rd_mm_2,1,0.998,1,0.76
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_rs_mm_1,1,0.785,1,0.718
no_gap,R_1BPAkPhD282eIwa,conj,mm,sim_conj_rs_mm_2,1,0.881,1,0.693
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_gd_m_1,1,1.768,1,1.277
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_gd_m_2,1,1.17,0,0.98
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_gs_m_1,1,1.015,1,1.133
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_gs_m_2,1,1.272,1,1.124
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_rd_m_1,1,1.537,1,1.665
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_rd_m_2,1,0.628,0,0.891
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_rs_m_1,1,1.446,1,0.985
gap,R_1BYsxPc3DVzRRdc,conj,m,sim_conj_rs_m_2,1,0.599,1,0.996
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_gd_mm_1,1,0.794,1,1.587
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_gd_mm_2,1,1.276,1,1.045
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_gs_mm_1,1,1.431,1,0.73
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_gs_mm_2,1,0.755,1,1.527
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_rd_mm_1,1,1.127,1,1.525
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_rd_mm_2,1,1.453,1,0.715
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_rs_mm_1,1,1.252,0,1.035
gap,R_1BYsxPc3DVzRRdc,conj,mm,sim_conj_rs_mm_2,1,1.263,1,1.416
gap,R_1C4075atnBURXV9,conj,m,sim_conj_gd_m_1,1,0.551,1,0.722
gap,R_1C4075atnBURXV9,conj,m,sim_conj_gd_m_2,1,0.547,1,0.81
gap,R_1C4075atnBURXV9,conj,m,sim_conj_gs_m_1,1,0.503,1,0.463
gap,R_1C4075atnBURXV9,conj,m,sim_conj_gs_m_2,1,0.51,1,0.541
gap,R_1C4075atnBURXV9,conj,m,sim_conj_rd_m_1,1,0.827,1,0.774
gap,R_1C4075atnBURXV9,conj,m,sim_conj_rd_m_2,1,0.692,1,0.723
gap,R_1C4075atnBURXV9,conj,m,sim_conj_rs_m_1,1,0.481,1,0.586
gap,R_1C4075atnBURXV9,conj,m,sim_conj_rs_m_2,1,0.623,1,0.366
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_gd_mm_1,1,0.78,1,0.573
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_gd_mm_2,1,0.628,1,0.761
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_gs_mm_1,1,0.53,1,0.53
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_gs_mm_2,0,1.062,1,0.478
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_rd_mm_1,1,0.867,1,0.508
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_rd_mm_2,1,0.636,1,0.654
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_rs_mm_1,1,0.926,1,0.491
gap,R_1C4075atnBURXV9,conj,mm,sim_conj_rs_mm_2,1,1.539,1,0.571
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_gd_m_1,1,0.962,1,0.91
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_gd_m_2,0,0.8,1,1.094
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_gs_m_1,1,1.348,1,0.81
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_gs_m_2,1,0.759,1,0.843
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_rd_m_1,1,0.624,1,0.39
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_rd_m_2,1,0.691,1,0.843
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_rs_m_1,1,1.135,1,0.386
gap,R_1Ca7oDDfGUuqpD2,conj,m,sim_conj_rs_m_2,1,0.882,0,0.731
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_gd_mm_1,1,1.206,1,0.75
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_gd_mm_2,1,0.773,1,2.125
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_gs_mm_1,1,1.44,0,0.658
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_gs_mm_2,1,0.913,1,2.133
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_rd_mm_1,1,0.844,1,1.215
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_rd_mm_2,1,0.604,1,1.633
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_rs_mm_1,1,0.764,1,0.59
gap,R_1Ca7oDDfGUuqpD2,conj,mm,sim_conj_rs_mm_2,1,0.639,1,0.571
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_gd_m_1,1,0.643,1,1.868
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_gd_m_2,1,0.71,1,0.806
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_gs_m_1,1,1.037,1,1.506
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_gs_m_2,1,0.784,1,1.115
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_rd_m_1,1,1.072,1,1.316
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_rd_m_2,1,1.697,1,0.798
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_rs_m_1,1,0.571,1,1.643
no_gap,R_1CDQa7qsN9RNzFH,conj,m,sim_conj_rs_m_2,1,2.623,1,1.288
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_gd_mm_1,1,1.316,1,1.598
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_gd_mm_2,1,0.748,1,1.399
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_gs_mm_1,1,1.321,1,0.995
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_gs_mm_2,1,0.782,1,1.227
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_rd_mm_1,1,1.371,1,1.947
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_rd_mm_2,1,1.524,1,0.7
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_rs_mm_1,1,0.776,1,1.692
no_gap,R_1CDQa7qsN9RNzFH,conj,mm,sim_conj_rs_mm_2,1,1.143,1,0.855
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_gd_m_1,1,1.094,0,1.73
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_gd_m_2,1,0.624,1,1.047
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_gs_m_1, , ,1,0.937
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_gs_m_2,1,1.172,1,0.669
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_rd_m_1,1,0.917,1,1.949
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_rd_m_2,1,0.606,1,0.704
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_rs_m_1,1,1.138,1,0.725
no_gap,R_1CJcSTbRoTUCqgI,conj,m,sim_conj_rs_m_2,1,1.315,1,1.035
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_gd_mm_1,1,0.891,1,1.658
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_gd_mm_2,1,0.933,1,1.298
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_gs_mm_1,1,0.876,1,1.263
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_gs_mm_2,1,0.926,1,0.828
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_rd_mm_1,1,0.95,1,1.667
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_rd_mm_2,1,1.867,1,0.824
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_rs_mm_1,1,1.566,0,3.229
no_gap,R_1CJcSTbRoTUCqgI,conj,mm,sim_conj_rs_mm_2,1,0.916,1,1.428
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_gd_m_1,1,0.751,1,1.136
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_gd_m_2,1,0.812,1,0.675
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_gs_m_1,1,1.413,1,1.364
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_gs_m_2,1,0.584,1,0.873
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_rd_m_1,1,0.876,1,0.973
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_rd_m_2,1,0.912,1,1.227
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_rs_m_1,1,0.772,1,1.177
no_gap,R_1cUmxE0nB0eQ5tx,conj,m,sim_conj_rs_m_2,1,0.663,1,1.469
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_gd_mm_1,1,1.357,1,0.668
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_gd_mm_2,1,1.283,1,0.995
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_gs_mm_1,1,0.776,1,0.811
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_gs_mm_2,1,1.14,1,0.875
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_rd_mm_1,1,2.194,1,0.922
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_rd_mm_2,1,1.113,1,1.248
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_rs_mm_1,1,0.937,1,0.767
no_gap,R_1cUmxE0nB0eQ5tx,conj,mm,sim_conj_rs_mm_2,1,0.815,1,1.845
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_gd_m_1,1,1.202,1,0.798
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_gd_m_2,1,1.401,1,1.358
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_gs_m_1,1,1.483,0,1.262
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_gs_m_2,1,0.99,1,0.853
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_rd_m_1,1,1.614,1,1.58
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_rd_m_2,1,0.715,1,1.056
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_rs_m_1,1,0.999,1,0.918
no_gap,R_1cUnP5PoHL3kGw8,conj,m,sim_conj_rs_m_2,1,0.948,1,1.112
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_gd_mm_1,1,0.978,0,1.303
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_gd_mm_2,1,1.654,1,1.696
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_gs_mm_1,1,1.102,1,1.205
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_gs_mm_2,1,1.151,1,0.991
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_rd_mm_1,1,0.94,1,0.66
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_rd_mm_2,1,0.968,1,0.832
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_rs_mm_1,1,0.908,1,1.394
no_gap,R_1cUnP5PoHL3kGw8,conj,mm,sim_conj_rs_mm_2,1,0.977,1,2.129
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_gd_m_1,1,0.661,1,1.031
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_gd_m_2,1,0.381,1,1.698
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_gs_m_1,1,0.602,1,2.038
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_gs_m_2,0,0.634,1,0.938
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_rd_m_1,0,1.223,1,5.915
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_rd_m_2,1,0.488,1,1.283
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_rs_m_1,1,0.837,1,1.181
no_gap,R_1cZYqPuI2ovCe8d,conj,m,sim_conj_rs_m_2,1,0.44,1,1.686
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_gd_mm_1,1,0.715,1,1.966
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_gd_mm_2,1,0.467,1,1.052
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_gs_mm_1,1,0.762,1,0.932
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_gs_mm_2,1,0.36,1,1.791
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_rd_mm_1,1,0.455,1,1.21
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_rd_mm_2,1,0.723,1,0.668
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_rs_mm_1,1,1.029,1,2.176
no_gap,R_1cZYqPuI2ovCe8d,conj,mm,sim_conj_rs_mm_2,1,0.72,1,3.413
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_gd_m_1,1,0.836,1,0.678
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_gd_m_2,1,1.277,1,0.707
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_gs_m_1,1,1.28,1,1.046
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_gs_m_2,1,0.815,1,0.64
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_rd_m_1,1,1.383,1,1.107
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_rd_m_2,1,1.344,1,0.935
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_rs_m_1,1,0.983,1,1.344
no_gap,R_1DuNzuDT2Ly6aYo,conj,m,sim_conj_rs_m_2,1,0.755,1,0.767
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_gd_mm_1,1,0.794,1,0.927
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_gd_mm_2,1,0.885,1,0.735
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_gs_mm_1,1,0.802,1,1.362
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_gs_mm_2,1,0.967,1,0.855
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_rd_mm_1,1,1.225,1,0.909
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_rd_mm_2,1,1.297,1,1.46
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_rs_mm_1,1,0.88,1,1.789
no_gap,R_1DuNzuDT2Ly6aYo,conj,mm,sim_conj_rs_mm_2,1,1.032,1,1.099
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_gd_m_1,1,0.562,1,0.449
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_gd_m_2,1,0.364,1,0.668
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_gs_m_1,1,0.36,1,0.759
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_gs_m_2,1,0.419,1,1.141
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_rd_m_1,0,0.549,1,0.51
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_rd_m_2,1,2.444,1,0.609
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_rs_m_1,1,0.95,1,0.657
gap,R_1DUQTsUdLXCAotg,conj,m,sim_conj_rs_m_2,1,0.899,1,0.846
gap,R_1DUQTsUdLXCAotg,conj,mm,sim_conj_gd_mm_1,1,0.782,1,0.9
